I've tried spacing it neatly, it looks fine on the edit but when I publish the change it comes out looking like... well this...
Apologies.

Most Mods Herein use the MIT or GNU Licenses, Forge Licensing, an alternative or use a custom license which request appropriate Credit and Links back to the home or curse page.

Please Contact Dan deLion#1608 or Hellstrom#8665 on Discord with any issues you encounter before engaging any Mod Dev,
it's more than likely our fault anyway.
Also please be aware the modpack team does not support anything other than Windows 10 systems with more than or equal to 7GB of RAM, This Modpack is not confirmed stable below this spec.

Please See Below the List of Mods/Library's and their respective credit and links:

###Mod###                     ###Developed by/Owned By###   ###Link###
Tinkers Construct             Mdiyo                          https://minecraft.curseforge.com/projects/tinkers-construct
Thaumcraft                    Azanor                         https://minecraft.curseforge.com/projects/thaumcraft
ThaumcraftInventoryScanning   BlayTheNinth                   https://www.curseforge.com/minecraft/mc-mods/thaumcraft-inventory-scanning
ThaumicJEI                    Buuz135                        https://www.curseforge.com/minecraft/mc-mods/thaumic-jei
Thaumic Periphery             mangoose3039                   https://www.curseforge.com/minecraft/mc-mods/thaumic-periphery
Thaumic Terminal              ロ_ロ                           https://www.curseforge.com/minecraft/mc-mods/thaumic-terminal                      
Thaumic Tinkerer              Nekosune                       https://www.curseforge.com/minecraft/mc-mods/thaumic-tinkerer
Tinkers Complement            KnightMiner                    https://www.curseforge.com/minecraft/mc-mods/tinkers-complement
Treecapitator                 ZenCoder, bspkrs               https://www.curseforge.com/minecraft/mc-mods/treecapitator-updated
Tinkers Construct             Mdiyo                          https://minecraft.curseforge.com/projects/tinkers-construct
Tinkers JEI                   Possible_triangle              https://www.curseforge.com/minecraft/mc-mods/tinkers-jei
Tinker's Tool Leveling        boni                           https://minecraft.curseforge.com/projects/tinkers-tool-leveling
UniDict                       WanionCane                     https://minecraft.curseforge.com/projects/unidict
Waila Harvestability          squeek502                      https://minecraft.curseforge.com/projects/waila-harvestability
WanionLib                     WanionCane                     https://minecraft.curseforge.com/projects/wanionlib
Wawla                         Darkhax                        https://minecraft.curseforge.com/projects/wawla-what-are-we-looking-at
Waystones                     BlayTheNinth                   https://www.curseforge.com/minecraft/mc-mods/waystones
Wireless Crafting Terminal    TheRealp455w0rd                https://www.curseforge.com/minecraft/mc-mods/wireless-crafting-terminal
Wireless Redstone             Chicken_Bones                  http://chickenbones.net/Pages/links.html
Worldedit Forge               sk89q                          https://www.curseforge.com/minecraft/mc-mods/worldedit
Xaeros Mapping Mods           xaero96                        https://www.curseforge.com/minecraft/mc-mods/xaeros-minimap

(This document is included in the modpack files and the Technic Platform Permissions Page - Please do-not remove this file)

